user_id,username,password,bio,posts_count,followers_count,following_count
1,Lorin,Password,For copyright reasons  I am not Grogu,,,
2,Xylo,Password,Fierce warrior not solo,,,
3,Zara,Password,Humanoid robot much like the rest,,,
4,Mystar,Password,Xylo and I are not the same!,,,
5,mert,mert,mert,,,
6,Ata,Ata,Aysu 19.01.2024,,,
7,caglar,caglar,MyBio Caglar 123,,,
8,cdog1,cdog1,Bio of cdog1,,,
9,cdog2,cdog2,Bio of Cdog2,,,
10,cdog3,cdog3,Bio og Cdog3,,,
11,cdog4,cdog4,Bio of Cdog 4,,,
12,Mero,Mero,Meor,,,
13,Alp,Alp,Aydin,,,
